TagID,TagName,Description,TagType,TagDataType,MaxRawValue,MinRawValue,MaxValue,MinValue,NonLinearTableName,ConvertType,IsFilter,DeadBand,Unit,ChannelName,DeviceName,ChannelDriver,DeviceSeries,DeviceSeriesType,CollectControl,CollectInterval,CollectOffset,TimeZoneBias,TimeAdjustment,Enable,ForceWrite,ItemName,RegName,RegType,ItemDataType,ItemAccessMode,HisRecordMode,HisDeadBand,HisInterval,TagGroup
5051,Group1_FCS0101!2LAL3003B_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003B.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5052,Group1_FCS0101!2LAL3003B_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003B.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5053,Group1_FCS0101!2LAL3003C-ALRM_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003C-ALRM.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5054,Group1_FCS0101!2LAL3003C-ALRM_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003C-ALRM.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5055,Group1_FCS0101!2LAL3003C-ALRM_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003C-ALRM.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5056,Group1_FCS0101!2LAL3003C-ALRM_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003C-ALRM.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5057,Group1_FCS0101!2LAL3003C_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003C.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5058,Group1_FCS0101!2LAL3003C_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003C.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5059,Group1_FCS0101!2LAL3003C_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003C.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5060,Group1_FCS0101!2LAL3003C_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2LAL3003C.PL,,0,DOUBLE,读写,不记录,0.000000,60,
5061,Group1_FCS0101!2PDAH2002A-ALRM_HH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002A-ALRM.HH,,0,DOUBLE,读写,不记录,0.000000,60,
5062,Group1_FCS0101!2PDAH2002A-ALRM_LL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002A-ALRM.LL,,0,DOUBLE,读写,不记录,0.000000,60,
5063,Group1_FCS0101!2PDAH2002A-ALRM_PH,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002A-ALRM.PH,,0,DOUBLE,读写,不记录,0.000000,60,
5064,Group1_FCS0101!2PDAH2002A-ALRM_PL,,用户变量,IODouble,0.000000,0.000000,0.000000,0.000000,,无,否,0.000000,,Yokogawa.ExaopcDACS1.1,Group1,,OPCDA,0,否,0,0,0,0,是,否,FCS0101!2PDAH2002A-ALRM.PL,,0,DOUBLE,读写,不记录,0.000000,60,
